cluster_id,element,delta_log10
0,AU_PPB,0.5563025007672873
0,AS_PPM,0.49732464080794947
0,PB_PPM,0.05551732784983132
0,FE_PCT,-0.08174346281222525
0,CU_PPM,-0.14612803567823796
0,ZN_PPM,-0.27875360095282886
0,MN_PPM,-0.6981005456233902
0,MO_PPM,-2.4881166390211256
0,NI_PPM,-3.0253058652647704
0,BI_PPM,-3.204119982655925
0,CO_PPM,-3.3521825181113623
0,CR_PPM,-4.681241237375588
0,U_PPM,
1,U_PPM,0.6090050214921817
1,CR_PPM,-0.1698209319373234
1,AS_PPM,-0.24303804868629447
1,ZN_PPM,-0.28989179830840506
1,PB_PPM,-0.6479300978126507
1,FE_PCT,-0.6736513111587868
1,CU_PPM,-0.9956130378462473
1,AU_PPB,-1.0
1,MN_PPM,-1.6981005456233902
1,MO_PPM,-2.4881166390211256
1,NI_PPM,-3.0253058652647704
1,BI_PPM,-3.204119982655925
1,CO_PPM,-3.3521825181113623
2,AU_PPB,1.4144104775624644
2,AS_PPM,0.8845982038653584
2,MO_PPM,0.37116614117857405
2,ZN_PPM,0.11918640771920885
2,PB_PPM,0.11350927482751816
2,FE_PCT,0.02425502532754703
2,CU_PPM,0.0043869621537526715
2,NI_PPM,-0.08777523356892014
2,MN_PPM,-0.7359609025924494
2,U_PPM,-1.167574589406291
2,BI_PPM,-3.204119982655925
2,CO_PPM,-3.3521825181113623
2,CR_PPM,-4.681241237375588
3,U_PPM,1.089328630252579
3,AU_PPB,0.9777236052888477
3,FE_PCT,-0.36945206771628064
3,PB_PPM,-0.48855071650044424
3,MN_PPM,-0.6237992182203436
3,MO_PPM,-1.3210266240802349
3,AS_PPM,-1.7324433991513253
3,BI_PPM,-1.8239087409443189
3,ZN_PPM,-2.1026623418971475
3,CU_PPM,-2.191885526238913
3,NI_PPM,-2.6273658565927325
3,CO_PPM,-2.8750612633917
3,CR_PPM,
4,BI_PPM,0.8677620246502007
4,U_PPM,0.7047223332251101
4,AS_PPM,0.30102999566398114
4,PB_PPM,0.11350927482751816
4,MO_PPM,-0.30102999566398125
4,ZN_PPM,-0.3756636139608853
4,CU_PPM,-0.5440680443502756
4,CR_PPM,-0.7966724224572538
4,CO_PPM,-0.8750612633917001
4,AU_PPB,-1.0
4,NI_PPM,-1.5028616317584502
4,MN_PPM,-2.8530025056091333
4,FE_PCT,-4.195686815119062
5,BI_PPM,1.3979400086720377
5,U_PPM,0.5228787452803376
5,AS_PPM,0.23408320603336796
5,CR_PPM,0.22184874961635637
5,AU_PPB,0.02118929906993816
5,MO_PPM,-0.8945733173425534
5,ZN_PPM,-2.70472233322511
5,CU_PPM,-2.970036776622557
5,NI_PPM,-3.0253058652647704
5,MN_PPM,-3.3001605369513527
5,CO_PPM,-3.3521825181113623
5,PB_PPM,-3.7103994661168005
5,FE_PCT,-4.73559889969818
6,MN_PPM,-0.4193469446705611
6,FE_PCT,-0.7845853603890536
6,ZN_PPM,-0.8016323462331665
6,CU_PPM,-0.8450980400142567
6,AU_PPB,-1.0
6,NI_PPM,-1.0253058652647702
6,MO_PPM,-2.4881166390211256
6,U_PPM,-2.7611179110848636
6,BI_PPM,-3.204119982655925
6,CO_PPM,-3.3521825181113623
6,AS_PPM,-3.5440680443502757
6,PB_PPM,-3.7103994661168005
6,CR_PPM,-4.681241237375588
7,AU_PPB,-0.19897000433601875
7,MN_PPM,-0.6813886678799153
7,ZN_PPM,-0.7391629779290164
7,FE_PCT,-0.8126917099552932
7,NI_PPM,-1.0253058652647702
7,U_PPM,-1.167574589406291
7,CU_PPM,-1.9075674083184069
7,MO_PPM,-2.4881166390211256
7,BI_PPM,-3.204119982655925
7,CO_PPM,-3.3521825181113623
7,AS_PPM,-3.5440680443502757
7,PB_PPM,-3.7103994661168005
7,CR_PPM,-4.681241237375588
8,CR_PPM,0.15937938131220641
8,FE_PCT,0.010113077208394217
8,CU_PPM,-0.27106677228653786
8,ZN_PPM,-0.27875360095282886
8,MN_PPM,-0.30155474553509976
8,PB_PPM,-0.8864907251724818
8,AU_PPB,-1.0
8,MO_PPM,-2.4881166390211256
8,U_PPM,-2.7611179110848636
